id,username,password,email,role,name,createdAt,isActive
1,admin,admin123,admin@company.com,ADMIN,System Admin,2025-08-04T14:50:22.332Z,true
2,truder,Truder,truder@truder.com,LEAD,Truder Lead,2025-08-04T15:01:08.583Z,true
3,exemel,Exemel,exemel@exemel.com,MANAGER,Exemel Manager,2025-08-04T15:01:08.583Z,true
4,victor,Victor,victor@victor.com,ADMIN,Victor Admin,2025-08-04T15:01:08.583Z,true
5,hechtml,Hechtml,hechtml@hechtml.com,OPS,Hechtml Ops,2025-08-04T15:01:08.583Z,true
6,seeyess,Seeyess,seeyess@seeyess.com,OPS,Seeyess Ops,2025-08-04T15:01:08.583Z,true
7,jaypjee,Jaypjee,jaypjee@jaypjee.com,OPS,Jaypjee Ops,2025-08-04T15:01:08.583Z,true
8,yaamal,Yaamal,yaamal@yaamal.com,MANAGER,Yaamal Manager,2025-08-04T15:01:34.860Z,true
9,jayson,Jayson,jayson@jayson.com,LEAD,Jayson Lead,2025-08-04T15:01:34.860Z,true
10,eyecye,Eyecye,eyecye@eyecye.com,OPS,Eyecye Ops,2025-08-04T15:01:34.860Z,true
1,admin,admin123,admin@company.com,ADMIN,System Admin,2025-08-04T15:00:00.000Z,true
2,truder,Truder,truder@truder.com,LEAD,Truder Lead,2025-08-04T15:00:00.000Z,true
3,exemel,Exemel,exemel@exemel.com,MANAGER,Exemel Manager,2025-08-04T15:00:00.000Z,true
4,victor,Victor,victor@victor.com,ADMIN,Victor Admin,2025-08-04T15:00:00.000Z,true
5,hechtml,Hechtml,hechtml@hechtml.com,OPS,Hechtml Ops,2025-08-04T15:00:00.000Z,true
6,seeyess,Seeyess,seeyess@seeyess.com,OPS,Seeyess Ops,2025-08-04T15:00:00.000Z,true
7,jaypjee,Jaypjee,jaypjee@jaypjee.com,OPS,Jaypjee Ops,2025-08-04T15:00:00.000Z,true
8,yaamal,Yaamal,yaamal@yaamal.com,MANAGER,Yaamal Manager,2025-08-04T15:00:00.000Z,true
9,jayson,Jayson,jayson@jayson.com,LEAD,Jayson Lead,2025-08-04T15:00:00.000Z,true
10,eyecye,Eyecye,eyecye@eyecye.com,OPS,Eyecye Ops,2025-08-04T15:00:00.000Z,true
